Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1471856400.0 250207.0 NA 222 0 NA 319 0 NA 11149 0 NA 12297 0
1471856400.0 250399.0 130 NA NA 221 NA NA 1010 NA NA 1708 NA NA
1471856400.0 250400.0 237 0 104 319 0 146 2535 852 789 2691 875 1469
1471856400.0 250402.0 238 0 102 320 0 147 2897 806 840 3154 828 959
1471856400.0 250403.0 238 0 104 319 0 146 1701 521 438 1880 537 512
1471856400.0 250405.0 239 0 102 317 0 145 1641 519 444 1984 540 531
1471856400.0 250406.0 231 0 101 317 0 146 1925 784 569 2234 854 689
1471856400.0 250407.0 219 0 103 298 0 146 1257 507 395 1586 526 463
1471856400.0 250408.0 239 0 102 320 0 147 2630 778 785 2821 810 896
1471856400.0 250409.0 245 0 104 331 0 149 3732 821 1078 4039 841 1158
1471856400.0 25200.0 NA 206 0 NA 287 0 NA 3010 0 NA 6572 0
1471856400.0 25202.0 NA 214 0 NA 282 0 NA 3525 0 NA 7411 0
1471856400.0 25203.0 NA 197 0 NA 281 0 NA 2835 0 NA 5990 0
1471856400.0 25204.0 NA 205 0 NA 274 0 NA 2992 0 NA 3891 0
1471856400.0 25205.0 NA 212 0 NA 277 0 NA 3430 0 NA 6447 0
1471856400.0 25206.0 NA 210 0 NA 280 0 NA 3291 0 NA 8540 0
1471856400.0 25207.0 NA 208 0 NA 279 0 NA 2716 0 NA 5558 0
1471856400.0 25208.0 NA 224 0 NA 285 0 NA 3580 0 NA 6289 0
1471856400.0 25209.0 NA 211 0 NA 280 0 NA 3047 0 NA 4560 0
1471856400.0 25210.0 70 200 0 157 268 0 2552 1217 0 5202 2152 0
1471856400.0 25211.0 62 201 0 157 279 0 6054 3166 0 8044 8219 0
1471856400.0 25212.0 61 198 0 157 281 0 5733 2998 0 8046 5818 0
1471856400.0 25213.0 62 203 0 157 279 0 7738 3435 0 10073 6527 0
1471856400.0 25400.0 272 0 104 367 0 146 3438 465 378 8193 496 814
1471856400.0 25402.0 273 0 103 366 0 146 3689 472 397 7664 508 458
1471856400.0 25403.0 269 0 101 368 0 146 3221 443 350 3855 463 409
1471856400.0 25405.0 277 0 102 368 0 145 4062 576 454 4669 607 557
1471856400.0 25406.0 270 0 104 361 0 145 2834 561 400 3784 619 481
1471856400.0 25407.0 265 0 103 350 0 147 3534 565 426 4114 586 487
1471856400.0 25408.0 278 0 106 379 0 149 4708 475 549 6126 489 742
1471856400.0 25409.0 267 0 103 371 0 145 4264 573 469 5642 595 532
1471856400.0 26.0 NA 85 0 NA 152 0 NA 3780 0 NA 3880 0
1471856400.0 27.0 NA 85 0 NA 151 0 NA 2116 0 NA 2152 0
1471856400.0 28.0 NA 82 0 NA 152 0 NA 4030 0 NA 4181 0
1471856400.0 280.0 77 77 0 167 142 0 8752 443 0 8983 482 0
1471856400.0 29.0 NA 81 0 NA 152 0 NA 3739 0 NA 3772 0
1471856400.0 3.0 51 66 123 97 136 178 13204 505 1553 13430 547 1584
1471856400.0 30.0 NA 82 0 NA 152 0 NA 3726 0 NA 3822 0
1471856400.0 300.0 67 179 0 118 245 0 4573 1170 0 4792 1332 0
1471856400.0 301.0 67 177 0 121 246 0 7328 1123 0 8232 1363 0
1471856400.0 302.0 68 176 0 119 244 0 4076 1175 0 4318 1394 0
1471856400.0 31.0 NA 81 0 NA 152 0 NA 3620 0 NA 3686 0
1471856400.0 32.0 NA 82 0 NA 152 0 NA 3828 0 NA 3876 0
1471856400.0 33.0 NA 89 0 NA 151 0 NA 2106 0 NA 2146 0
1471856400.0 34.0 49 74 0 97 144 0 12185 698 0 17544 858 0
1471856400.0 36.0 NA 82 0 NA 152 0 NA 1844 0 NA 1958 0
1471856400.0 37.0 NA 82 0 NA 154 0 NA 3790 0 NA 4152 0
1471856400.0 38.0 NA 83 0 NA 153 0 NA 3531 0 NA 3740 0
1471856400.0 39.0 NA 83 0 NA 153 0 NA 4267 0 NA 4353 0
1471856400.0 4.17 NA 43 0 NA 77 0 NA 111 0 NA 132 0
1471856400.0 4.22 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1471856400.0 4.23 NA 66 0 NA 110 0 NA 126 0 NA 379 0
1471856400.0 4.24 NA 54 0 NA 97 0 NA 96 0 NA 130 0
1471856400.0 4.25 NA 61 0 NA 99 0 NA 93 0 NA 144 0
1471856400.0 4.26 NA 62 0 NA 96 0 NA 163 0 NA 214 0
1471856400.0 4.27 NA 53 0 NA 97 0 NA 104 0 NA 138 0
1471856400.0 4.28 NA 60 0 NA 116 0 NA 220 0 NA 920 0
1471856400.0 4.29 NA 38 0 NA 80 0 NA 191 0 NA 221 0
1471856400.0 4.34 NA 60 0 NA 108 0 NA 134 0 NA 234 0
1471856400.0 4.36 NA 53 0 NA 96 0 NA 105 0 NA 147 0
1471856400.0 4.4 NA 36 0 NA 80 0 NA 122 0 NA 145 0
1471856400.0 4.41 NA 34 0 NA 80 0 NA 211 0 NA 296 0
1471856400.0 4.42 NA 37 0 NA 81 0 NA 250 0 NA 614 0
1471856400.0 4.43 NA 35 0 NA 81 0 NA 117 0 NA 151 0
1471856400.0 4.44 NA 38 0 NA 80 0 NA 234 0 NA 307 0
1471856400.0 4.45 NA 40 0 NA 80 0 NA 262 0 NA 320 0
1471856400.0 4.51 NA 38 0 NA 81 0 NA 219 0 NA 404 0
1471856400.0 4.52 NA 40 0 NA 78 0 NA 156 0 NA 219 0
1471856400.0 4.53 NA 42 0 NA 79 0 NA 156 0 NA 182 0
1471856400.0 4.54 NA 42 0 NA 80 0 NA 252 0 NA 288 0
1471856400.0 4.55 NA 37 0 NA 78 0 NA 161 0 NA 211 0
1471856400.0 4.57 NA 56 0 NA 92 0 NA 144 0 NA 237 0
1471856400.0 4.58 NA 43 0 NA 90 0 NA 200 0 NA 282 0
1471856400.0 4.6 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1471856400.0 4.61 NA 39 0 NA 79 0 NA 261 0 NA 325 0
1471856400.0 4.62 NA 36 0 NA 81 0 NA 253 0 NA 617 0
1471856400.0 4.63 NA 39 0 NA 80 0 NA 276 0 NA 346 0
1471856400.0 4.64 NA 41 0 NA 78 0 NA 160 0 NA 243 0
1471856400.0 4.65 NA 40 0 NA 80 0 NA 162 0 NA 294 0
1471856400.0 4.67 NA 61 0 NA 94 0 NA 154 0 NA 199 0
1471856400.0 4.68 NA 45 0 NA 90 0 NA 214 0 NA 487 0
1471856400.0 4.71 NA 41 0 NA 80 0 NA 230 0 NA 296 0
1471856400.0 4.72 NA 36 0 NA 79 0 NA 282 0 NA 500 0
1471856400.0 4.73 NA 39 0 NA 82 0 NA 298 0 NA 358 0
1471856400.0 4.74 NA 42 0 NA 80 0 NA 249 0 NA 301 0
1471856400.0 4.75 NA 42 0 NA 80 0 NA 267 0 NA 321 0
1471856400.0 4.76 NA 64 0 NA 100 0 NA 135 0 NA 175 0
1471856400.0 4.77 NA 59 0 NA 95 0 NA 138 0 NA 197 0
1471856400.0 4.78 NA 45 0 NA 93 0 NA 129 0 NA 164 0
1471856400.0 4000.0 NA 84 0 NA 152 0 NA 4208 0 NA 4271 0
1471856400.0 4001.0 NA 92 0 NA 153 0 NA 625 0 NA 1093 0
1471856400.0 4002.0 NA 82 0 NA 152 0 NA 1658 0 NA 1718 0
1471856400.0 4006.0 42 81 0 88 150 0 1310 534 0 1383 827 0
1471856400.0 4007.0 44 76 0 90 150 0 653 256 0 713 323 0
1471856400.0 4008.0 45 77 0 91 151 0 810 233 0 863 321 0
1471856400.0 43.0 NA 82 0 NA 153 0 NA 3718 0 NA 3793 0
1471856400.0 44.0 NA 82 0 NA 152 0 NA 3789 0 NA 3889 0
1471856400.0 45.0 NA 82 0 NA 152 0 NA 3751 0 NA 3806 0
1471856400.0 5.1 181 0 NA 245 0 NA 1048 443 NA 1202 481 NA
1471856400.0 5.2 169 0 NA 227 0 NA 658 353 NA 940 390 NA
1471856400.0 5.3 169 0 NA 227 0 NA 608 365 NA 759 389 NA
