Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470646800.0 1320.0 NA 193 439 0 NA NA 305 549 0 NA NA 973 2941 1884 NA NA 715 2779 1898 NA
1470646800.0 1321.0 NA 180 439 0 NA NA 325 554 0 NA NA 962 3566 1848 NA NA 761 3438 1866 NA
1470646800.0 1322.0 NA 189 459 0 NA NA 307 569 0 NA NA 1136 3085 2205 NA NA 832 2946 2243 NA
1470646800.0 1323.0 NA 185 442 0 NA NA 315 560 0 NA NA 539 1758 1115 NA NA 448 1761 1129 NA
1470646800.0 1324.0 NA 198 468 0 NA NA 333 563 0 NA NA 784 2000 1305 NA NA 526 1783 1317 NA
1470646800.0 1325.0 NA 204 459 0 73 NA 329 567 0 118 NA 739 2041 1150 166 NA 534 1805 1167 224
1470646800.0 1325.1 NA 213 220 0 NA NA 327 287 0 NA NA 746 465 232 NA NA 491 394 241 NA
1470646800.0 1325.2 NA 208 457 0 NA NA 320 561 0 NA NA 1276 3899 1946 NA NA 1229 3388 1960 NA
1470646800.0 1325.3 NA 205 208 0 NA NA 317 276 0 NA NA 766 439 226 NA NA 518 388 233 NA
1470646800.0 1326.0 NA 194 452 0 NA NA 339 553 0 NA NA 670 1821 1252 NA NA 506 1720 1272 NA
1470646800.0 1327.0 NA 196 448 0 NA NA 323 534 0 NA NA 625 1698 1121 NA NA 460 1810 1131 NA
1470646800.0 1328.0 NA 194 456 0 NA NA 335 554 0 NA NA 684 1888 1205 NA NA 500 1772 1219 NA
1470646800.0 1329.0 NA 190 452 0 NA NA 327 565 0 NA NA 1074 3462 1971 NA NA 760 3317 2007 NA
1470646800.0 133.0 83 104 379 NA NA 168 200 479 NA NA 12514 808 1388 NA NA 3940 499 1016 NA NA
1470646800.0 1330.0 NA 199 444 0 NA NA 310 574 0 NA NA 820 1850 1197 NA NA 934 1751 1215 NA
1470646800.0 1332.0 NA 190 444 0 NA NA 327 551 0 NA NA 981 2798 1783 NA NA 733 2661 1792 NA
1470646800.0 1333.0 NA 189 457 0 NA NA 322 556 0 NA NA 617 1735 1125 NA NA 490 1703 1135 NA
1470646800.0 1334.0 NA 195 450 0 NA NA 331 573 0 NA NA 1095 3271 2139 NA NA 758 3071 2171 NA
1470646800.0 1335.0 NA 199 453 0 NA NA 317 561 0 NA NA 646 1827 1253 NA NA 470 1727 1273 NA
1470646800.0 1336.0 NA 208 455 0 NA NA 345 568 0 NA NA 841 3002 1199 NA NA 545 2084 1207 NA
1470646800.0 1337.0 NA 210 465 0 NA NA 351 585 0 NA NA 849 2462 1255 NA NA 560 1920 1287 NA
1470646800.0 1338.0 NA 208 457 0 NA NA 318 574 0 NA NA 728 2054 1257 NA NA 533 1819 1272 NA
1470646800.0 1339.0 NA 216 460 0 NA NA 313 575 0 NA NA 1407 4134 1954 NA NA 1064 3480 1979 NA
1470646800.0 134.0 NA 350 38 0 NA NA 441 72 0 NA NA 2946 7 8 NA NA 1453 15 11 NA
1470646800.0 134.701 NA 44 385 0 NA NA 93 474 0 NA NA 283 7172 557 NA NA 384 2860 566 NA
1470646800.0 134.702 NA 46 377 0 NA NA 92 468 0 NA NA 291 10568 581 NA NA 301 3754 593 NA
1470646800.0 134.703 NA 47 389 0 NA NA 93 488 0 NA NA 275 11426 614 NA NA 345 4241 633 NA
1470646800.0 134.704 NA 45 376 0 NA NA 94 478 0 NA NA 274 9532 563 NA NA 340 3481 621 NA
1470646800.0 134.705 NA 47 386 0 NA NA 92 489 0 NA NA 318 11876 598 NA NA 345 4568 609 NA
1470646800.0 134.706 NA 48 383 0 NA NA 93 471 0 NA NA 299 12044 619 NA NA 321 4654 634 NA
1470646800.0 134.707 NA 47 376 0 NA NA 93 470 0 NA NA 284 11122 573 NA NA 272 4021 582 NA
1470646800.0 134.708 NA 45 379 0 NA NA 92 463 0 NA NA 286 9778 570 NA NA 465 3617 592 NA
1470646800.0 134.709 NA 46 391 0 NA NA 93 486 0 NA NA 270 9668 557 NA NA 290 3756 574 NA
1470646800.0 134.71 NA 37 370 0 NA NA 87 453 0 NA NA 252 6221 567 NA NA 234 3161 597 NA
1470646800.0 134.801 NA 45 378 0 NA NA 90 463 0 NA NA 147 4389 380 NA NA 151 2139 405 NA
